id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm
id3487442,2,2016-02-29 18:39:12,2016-02-29 18:42:59,1,-73.98181915283203,40.76896286010742,-73.98181915283203,40.76896286010742,N,227,0.0,6.562727887000146,6.562727887000146,0.0
id0171820,2,2016-05-25 06:40:04,2016-05-25 06:43:13,1,-74.00452423095702,40.72419357299805,-74.00449371337889,40.72466659545898,N,189,0.0511,1.2713682297605746,1.323898831194659,0.9733333333333334
id0924324,2,2016-05-10 18:07:52,2016-05-10 18:26:21,2,-73.95906829833984,40.77566146850586,-73.95906829833984,40.77566146850586,N,1109,0.0,8.027586570546493,8.027586570546493,0.0
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40,0.0014,4.887866821384902,4.885134686211509,0.126
id0790613,1,2016-05-20 14:04:03,2016-05-20 14:33:41,1,-73.9863052368164,40.77702331542969,-73.98585510253906,40.77679061889648,N,1778,0.0462,7.323343402023832,7.306939733188827,0.09354330708661417
id1145809,2,2016-05-16 23:15:13,2016-05-16 23:31:00,6,-73.80848693847656,40.68733596801758,-73.80848693847656,40.68733596801758,N,947,0.0,16.93070704492588,16.93070704492588,0.0
id3499387,1,2016-01-25 19:45:12,2016-01-25 19:54:52,1,-73.78672027587889,40.64704132080078,-73.78672027587889,40.64704132080078,N,580,0.0,19.92448810527236,19.92448810527236,0.0
id2386155,2,2016-01-24 12:42:54,2016-01-24 12:54:20,1,-73.98352813720702,40.73802947998047,-73.98323822021484,40.73794937133789,N,686,0.0257,3.384348166673903,3.3908183129080216,0.13486880466472304
id0971699,1,2016-05-19 07:20:41,2016-05-19 07:21:22,1,-73.99272918701173,40.737503051757805,-73.99273681640625,40.737449645996094,N,41,0.0023,2.963507783180291,2.9577747180555187,0.2019512195121951
id2295021,2,2016-04-10 17:39:50,2016-04-10 18:48:17,6,-73.90351104736328,40.63916015625,-73.90310668945312,40.639209747314446,N,4107,0.0414,11.91446565128509,11.935578169608249,0.03628926223520818
id0753277,1,2016-01-27 22:29:31,2016-01-27 22:29:58,1,-74.20985412597656,40.81685256958008,-74.20985412597656,40.81685256958008,N,27,0.0,20.730993966413504,20.730993966413504,0.0
id2134482,1,2016-01-22 16:13:01,2016-01-22 16:13:20,1,-73.77631378173827,40.64545440673828,-73.77631378173827,40.64545440673828,N,19,0.0,20.808448459845614,20.808448459845614,0.0
id2892749,1,2016-01-18 15:24:43,2016-01-18 15:28:57,5,-73.95466613769531,40.82100296020508,-73.95466613769531,40.82100296020508,Y,254,0.0,12.773652377501932,12.773652377501932,0.0
id0508736,1,2016-03-30 08:05:38,2016-03-30 08:05:41,1,-73.96409606933594,40.77717208862305,-73.9640884399414,40.777156829833984,N,3,0.0016,7.976589137688715,7.975356768702289,1.92
id0931199,2,2016-05-04 22:28:43,2016-05-04 22:32:51,1,-73.95462799072266,40.77717971801758,-73.95462799072266,40.77717971801758,N,248,0.0,8.362880965863026,8.362880965863026,0.0
id2251007,2,2016-05-23 14:20:49,2016-05-23 14:20:57,1,-73.78182983398438,40.64469909667969,-73.78182983398438,40.64469909667969,N,8,0.0,20.404995990297877,20.404995990297877,0.0
id1837685,2,2016-05-16 08:52:03,2016-05-16 08:52:22,1,-73.95081329345702,40.80256271362305,-73.9501953125,40.8023681640625,N,19,0.0561,11.003599405649611,11.006275647933006,10.629473684210526
id1992673,2,2016-03-02 20:10:41,2016-03-02 20:30:53,5,-73.87531280517578,40.773681640625,-73.87531280517578,40.773681640625,N,1212,0.0,12.943927239230051,12.943927239230051,0.0
