id,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm,pickup_datetime_month,pickup_datetime_hour,pickup_datetime_weekday,pickup_datetime_period,dropoff_datetime_month,dropoff_datetime_hour,dropoff_datetime_weekday,dropoff_datetime_period,trip_duration,is_outlier
id1859156,1,3,-73.96925354003906,40.75404739379882,-73.5935821533203,41.04386520385742,N,46.7853,5.53318298532434,50.59754487654382,66.46688239936859,2,0,Wednesday,Early Morning,2,1,Wednesday,Early Morning,2534,True
id3770021,1,1,-73.86203765869139,40.76464080810546,-73.54215240478516,41.0522575378418,Y,63.1614,13.453886477459015,54.30927237099129,94.1536397515528,2,18,Wednesday,Evening,2,19,Wednesday,Evening,2415,True
id0098463,1,2,-74.12672424316406,41.31916427612305,-73.93511962890625,40.82966613769531,N,81.38889999999999,68.10064306702135,14.291116077910871,91.84954231974922,3,19,Wednesday,Evening,3,20,Wednesday,Night,3190,True
id3300285,1,1,-73.78706359863281,40.64167022705078,-73.19326782226561,40.80948638916016,N,67.67439999999999,20.12471245147004,69.46021695892102,74.25414202986893,6,13,Wednesday,Afternoon,6,14,Wednesday,Afternoon,3281,True
id2888107,2,1,-73.8303985595703,40.80321502685546,-73.54256439208984,41.0461311340332,N,56.0789,17.907714381052294,53.8153446200894,103.4772116863147,1,11,Tuesday,Morning,1,11,Tuesday,Morning,1951,True
id0147490,1,1,-73.98604583740233,40.7612533569336,-73.4283676147461,40.86968612670898,N,57.7816,5.638503831344194,51.77159532049975,43.3091317926296,3,10,Wednesday,Morning,3,11,Wednesday,Morning,4803,True
id2000225,2,1,-73.8631820678711,40.76941680908203,-73.84963989257811,41.1811408996582,N,58.0815,13.603050013200876,53.65111068177662,76.39510412860795,1,20,Friday,Night,1,21,Friday,Night,2737,True
id0479538,1,1,-73.7898712158203,40.64340972900391,-73.6842498779297,41.334739685058594,N,92.9706,19.83053726248327,74.1808909900118,63.41306555513452,1,20,Saturday,Night,1,22,Saturday,Night,5278,True
id1311087,1,3,-75.45591735839844,39.803932189941406,-73.7960205078125,40.70772552490234,N,63.7632,159.3669797637507,17.752741090779164,9.792982935153583,2,12,Monday,Afternoon,2,18,Monday,Evening,23440,True
id3177399,2,1,-73.8670196533203,40.77081298828125,-73.45597076416014,40.881290435791016,N,49.7891,13.390248618118136,50.04756384102078,51.37310404127257,1,18,Thursday,Evening,1,19,Thursday,Evening,3489,True
id1493150,2,2,-73.99072265625,40.74985122680664,-73.25847625732422,41.143020629882805,N,98.144,4.312145903036472,79.03618358023385,74.93497348886532,2,22,Sunday,Night,2,23,Sunday,Night,4715,True
id1367238,1,1,-73.77405548095702,41.157371520996094,-73.70561981201173,41.07108688354492,N,13.3109,53.09467541784249,47.15821481541815,45.37806818181818,6,11,Monday,Morning,6,11,Monday,Morning,1056,True
id3271974,1,1,-73.7821273803711,40.644546508789055,-73.40513610839844,40.777923583984375,N,47.314800000000005,20.387947480878328,51.26045342956645,71.06102628285358,1,9,Wednesday,Morning,1,10,Wednesday,Morning,2397,True
id2172310,2,1,-73.87287139892578,40.77406692504882,-73.7254638671875,41.19739532470703,N,63.2453,13.142280045155015,58.77059709193225,47.93328,6,17,Wednesday,Evening,6,18,Wednesday,Evening,4750,True
id3759923,2,1,-73.79005432128906,40.64680099487305,-74.60243225097656,40.3388671875,N,60.1569,19.672466652997844,65.40884565263563,21.71729241877256,3,14,Friday,Afternoon,3,17,Friday,Evening,9972,True
id0594373,1,1,-73.98796844482422,40.75963973999024,-73.56462097167967,41.10778045654297,N,67.45089999999999,5.419914337296395,57.50447845420296,80.59184865582475,4,0,Thursday,Early Morning,4,1,Thursday,Early Morning,3013,True
id3462546,2,1,-73.77674865722656,40.645118713378906,-73.20551300048828,40.84806060791016,N,70.72139999999999,20.787638199358163,69.22119232354031,77.15061818181817,2,0,Saturday,Early Morning,2,1,Saturday,Early Morning,3300,True
id2108994,1,1,-73.78879547119139,40.64227294921875,-73.68467712402342,41.20159530639648,N,74.0005,19.963696815606987,60.64946467187806,64.34826086956522,5,11,Thursday,Morning,5,12,Thursday,Afternoon,4140,True
id3765151,1,1,-73.99214172363281,40.75185012817384,-74.64753723144531,40.29328918457031,N,46.3475,4.491706210673393,71.60405234587486,40.79486552567237,4,12,Saturday,Afternoon,4,13,Saturday,Afternoon,4090,True
id2132644,2,2,-73.95984649658203,40.78238296508789,-74.77542877197266,40.36453628540039,N,54.0949,8.654599275013615,75.79347056551028,30.83306523115896,2,8,Wednesday,Morning,2,10,Wednesday,Morning,6316,True
id1132328,1,1,-73.86971282958984,40.7713737487793,-73.53496551513672,41.05530548095703,N,65.5029,13.22176890841733,54.97989373794398,87.89058516585911,3,23,Friday,Night,3,0,Saturday,Early Morning,2683,True
id1194478,1,1,-73.99351501464844,40.7501106262207,-74.7113265991211,40.64425659179688,N,41.9275,4.275425003346784,60.11383582142785,55.5740058910162,5,6,Wednesday,Morning,5,7,Wednesday,Morning,2716,True
id2300022,1,2,-73.78041076660156,40.645313262939446,-73.36492156982422,40.88548278808594,N,56.9671,20.4913490843796,57.39857610080488,63.63064225876513,1,12,Saturday,Afternoon,1,13,Saturday,Afternoon,3223,True
id2700548,1,1,-73.97072601318358,40.76103973388672,-73.56640625,41.0337371826172,N,45.4286,6.129829783023627,51.41385741518319,46.79340772532189,4,20,Tuesday,Night,4,21,Tuesday,Night,3495,True
id1267258,1,1,-73.86390686035155,40.77019882202149,-74.61315155029298,40.584426879882805,N,52.0121,13.589246433720518,53.29492023744126,36.87348562426152,3,16,Monday,Evening,3,18,Monday,Evening,5078,True
id3466154,1,1,-73.84614562988281,40.74128341674805,-73.11042022705078,40.80647659301758,N,67.284,13.870181569182447,76.33463010756746,83.06666666666666,2,0,Thursday,Early Morning,2,1,Thursday,Early Morning,2916,True
id0349103,2,1,-73.78594207763672,40.64543914794922,-73.53611755371092,41.04938888549805,N,76.21239999999999,20.05161171723529,54.45802584583809,82.68976491862567,6,13,Sunday,Afternoon,6,14,Sunday,Afternoon,3318,True
id2223655,2,2,-73.5937957763672,40.68701171875,-73.11195373535155,40.79813766479492,N,51.0696,34.95517038860442,76.09015674844083,55.54397583081571,5,15,Monday,Afternoon,5,16,Monday,Evening,3310,True
id3172750,2,1,-73.92180633544923,40.79501724243164,-73.5374298095703,41.05503845214844,N,62.18,11.571984179794262,54.80960015801907,107.7228103946102,3,12,Monday,Afternoon,3,13,Monday,Afternoon,2078,True
id2321357,2,1,-73.86927795410156,40.770706176757805,-73.53477478027344,41.05157852172852,N,64.0791,13.217585312151742,54.70685200468464,95.5216397515528,5,19,Tuesday,Evening,5,20,Tuesday,Night,2415,True
id1257293,1,1,-73.88333129882812,40.72852325439453,-73.34420013427734,40.79053497314453,N,53.8485,10.51025050364716,56.551701093737776,80.63835274542429,2,19,Saturday,Evening,2,20,Saturday,Night,2404,True
id0939031,1,1,-73.78179931640625,40.644805908203125,-73.41726684570312,40.7830467224121,N,48.1032,20.40298581845234,50.3295223715756,52.254532287266144,2,8,Tuesday,Morning,2,9,Tuesday,Morning,3314,True
id3290660,1,3,-73.78105926513672,40.64497756958008,-73.17078399658203,40.81502914428711,N,69.30080000000001,20.454073056970174,71.42881433324878,46.05554365885177,6,16,Tuesday,Evening,6,18,Tuesday,Evening,5417,True
id1807464,2,3,-73.79081726074217,40.64405059814453,-73.05597686767578,40.81678009033203,N,80.2765,19.729137251288225,81.04025754793913,81.04189568143579,3,10,Monday,Morning,3,11,Monday,Morning,3566,True
id0437390,1,4,-73.98746490478516,40.74739456176758,-73.17093658447266,40.815059661865234,N,74.6243,4.1485219694153,71.41661742765041,64.64087584215592,4,13,Monday,Afternoon,4,14,Monday,Afternoon,4156,True
id3296837,2,1,-73.78975677490233,40.6470184326172,-73.4261474609375,41.149658203125,N,96.9085,19.686813116038856,68.83752467201953,71.75454545454546,4,7,Friday,Morning,4,9,Friday,Morning,4862,True
id3985896,2,2,-73.98133087158203,40.69598007202149,-73.25254058837889,40.724708557128906,N,73.6481,2.799124591298779,63.67468041854176,84.00923954372624,3,23,Thursday,Night,4,0,Friday,Early Morning,3156,True
id0912270,1,1,-73.97968292236328,40.76716995239258,-74.12621307373048,41.318458557128906,N,89.3041,6.433913831016186,68.01674593075296,69.42231915353057,5,12,Saturday,Afternoon,5,13,Saturday,Afternoon,4631,True
id3344191,2,1,-73.80735015869139,40.65511322021485,-73.5677032470703,41.04730987548828,N,74.1553,17.973369691197394,52.39016094867236,76.44876288659793,5,12,Sunday,Afternoon,5,13,Sunday,Afternoon,3492,True
id0410367,2,1,-73.98683929443358,40.77159118652344,-73.77548980712889,41.149898529052734,N,50.5407,6.726289560247972,52.27927953112052,61.0763746223565,5,21,Friday,Night,5,22,Friday,Night,2979,True
id2122095,2,2,-73.78179931640625,40.6446533203125,-74.6131134033203,40.5846061706543,N,56.1215,20.40928261551301,53.286422915480216,49.86115498519249,1,21,Sunday,Night,1,22,Sunday,Night,4052,True
id3569455,2,5,-73.87577056884764,40.7735710144043,-72.95458984375,40.96353149414063,N,91.499,12.90455201982804,92.9445490136517,66.81468559837728,2,21,Monday,Night,2,22,Monday,Night,4930,True
id0371884,2,1,-73.86351776123048,40.769630432128906,-74.66364288330078,40.7114486694336,N,52.102,13.58889672744277,55.57101633908255,42.54189158539351,1,8,Monday,Morning,1,9,Monday,Morning,4409,True
id0806322,1,1,-73.99241638183594,40.75383377075195,-73.71180725097656,41.36059188842773,N,80.57539999999999,4.699001433866798,76.07471379486692,48.77609551034134,4,1,Friday,Early Morning,4,2,Friday,Early Morning,5947,True
id0561139,2,1,-73.88887786865233,40.76667404174805,-73.53517150878906,41.051307678222656,N,66.6039,11.561082425243304,54.6619502179279,97.94691176470587,4,13,Tuesday,Afternoon,4,14,Tuesday,Afternoon,2448,True
id2977848,1,1,-73.9949722290039,40.7690658569336,-73.41812133789062,41.101844787597656,N,94.8183,6.317307002532912,65.72546802357644,112.24790529431108,4,2,Friday,Early Morning,4,2,Friday,Early Morning,3041,True
id0500182,1,1,-73.78112030029298,40.64496612548828,-73.34192657470702,40.77973556518555,N,51.0962,20.449745244410625,56.57592742520125,84.2245054945055,5,22,Monday,Night,5,23,Monday,Night,2184,True
id2355744,1,2,-73.77664184570312,40.645332336425774,-73.41119384765625,40.7532615661621,N,43.3754,20.78746717801921,50.44590796355956,56.720464947330186,3,23,Sunday,Night,3,0,Monday,Early Morning,2753,True
id0235873,1,2,-73.98631286621094,40.755802154541016,-74.56675720214844,40.27103042602539,N,47.4399,5.056624962548939,68.31160131259934,46.44646178950232,6,3,Saturday,Early Morning,6,4,Saturday,Early Morning,3677,True
id3651505,2,1,-73.99724578857422,40.71662902832031,-73.28710174560547,40.71332550048828,N,71.1313,0.8532075286936597,60.74603917189686,64.91069201520912,5,19,Sunday,Evening,5,20,Sunday,Night,3945,True
id3233153,2,1,-73.87544250488281,40.77362060546875,-73.58450317382812,41.04035949707031,N,41.522,12.93104981446078,50.84774041317939,64.12664092664093,1,14,Tuesday,Afternoon,1,15,Tuesday,Afternoon,2331,True
id1930917,2,1,-73.78034973144531,40.6460189819336,-73.53768920898438,41.0600814819336,N,76.7136,20.46753339233337,55.18271351894476,81.27397292525015,2,11,Monday,Morning,2,12,Monday,Afternoon,3398,True
id3554786,1,1,-73.87516021728516,40.77391815185546,-73.73363494873048,41.18718719482422,N,60.0967,12.968628399516929,57.45699124543517,71.52003966942148,3,22,Tuesday,Night,3,22,Tuesday,Night,3025,True
