id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm
id3487442,2,2016-02-29 18:39:12,2016-02-29 18:42:59,1,-73.98181915283203,40.76896286010742,-73.98181915283203,40.76896286010742,N,227,0.0,6.562727887000146,6.562727887000146,0.0
id0171820,2,2016-05-25 06:40:04,2016-05-25 06:43:13,1,-74.00452423095702,40.72419357299805,-74.00449371337889,40.72466659545898,N,189,0.0511,1.2713682297605746,1.323898831194659,0.9733333333333334
id0924324,2,2016-05-10 18:07:52,2016-05-10 18:26:21,2,-73.95906829833984,40.77566146850586,-73.95906829833984,40.77566146850586,N,1109,0.0,8.027586570546493,8.027586570546493,0.0
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40,0.0014,4.887866821384902,4.885134686211509,0.126
id0790613,1,2016-05-20 14:04:03,2016-05-20 14:33:41,1,-73.9863052368164,40.77702331542969,-73.98585510253906,40.77679061889648,N,1778,0.0462,7.323343402023832,7.306939733188827,0.09354330708661417
id1145809,2,2016-05-16 23:15:13,2016-05-16 23:31:00,6,-73.80848693847656,40.68733596801758,-73.80848693847656,40.68733596801758,N,947,0.0,16.93070704492588,16.93070704492588,0.0
id3307903,2,2016-02-20 04:03:06,2016-02-21 03:33:00,3,-74.00810241699219,40.74148941040039,-74.00995635986328,40.7146110534668,N,84594,3.2689,3.19086709590856,0.3901372106076203,0.13911199375842256
id0131920,2,2016-02-13 17:24:28,2016-02-13 17:56:13,1,-73.99660491943358,40.72550964355469,-73.9962387084961,40.72579574584961,N,1905,0.8642000000000001,1.6193006729704489,1.6621987605782278,1.6331338582677166
id3499387,1,2016-01-25 19:45:12,2016-01-25 19:54:52,1,-73.78672027587889,40.64704132080078,-73.78672027587889,40.64704132080078,N,580,0.0,19.92448810527236,19.92448810527236,0.0
id3263580,2,2016-05-21 12:46:46,2016-05-21 12:46:49,2,-73.7823715209961,40.64876556396485,-73.7823715209961,40.64874649047852,N,3,2.9181,20.19857446361131,20.19932273947975,3501.72
id2386155,2,2016-01-24 12:42:54,2016-01-24 12:54:20,1,-73.98352813720702,40.73802947998047,-73.98323822021484,40.73794937133789,N,686,0.0257,3.384348166673903,3.3908183129080216,0.13486880466472304
id1723554,2,2016-06-14 07:46:49,2016-06-14 08:11:44,1,-73.95561218261719,40.76845169067384,-73.95070648193358,40.768985748291016,N,1495,0.5779,7.503755726784255,7.79367613878813,1.3915986622073577
id0729156,2,2016-06-23 13:36:48,2016-06-23 13:36:50,3,-73.82765960693358,40.716175079345696,-73.82211303710938,40.71145248413086,N,2,4.761699999999999,15.073920505655726,15.539199116203514,8571.06
id1091477,2,2016-05-07 18:36:22,2016-05-08 18:32:11,1,-73.99024200439453,40.750919342041016,-73.97628021240233,40.75088882446289,N,86149,1.7222,4.437472354156158,4.918692579279839,0.07196740530940579
id0971699,1,2016-05-19 07:20:41,2016-05-19 07:21:22,1,-73.99272918701173,40.737503051757805,-73.99273681640625,40.737449645996094,N,41,0.0023,2.963507783180291,2.9577747180555187,0.2019512195121951
id2295021,2,2016-04-10 17:39:50,2016-04-10 18:48:17,6,-73.90351104736328,40.63916015625,-73.90310668945312,40.639209747314446,N,4107,0.0414,11.91446565128509,11.935578169608249,0.03628926223520818
id3347941,1,2016-01-16 14:15:33,2016-01-16 15:03:49,2,-73.95635223388672,40.78150939941406,-73.95622253417967,40.781604766845696,N,2896,0.5114,8.706332830054038,8.72088942595071,0.6357182320441989
id0753277,1,2016-01-27 22:29:31,2016-01-27 22:29:58,1,-74.20985412597656,40.81685256958008,-74.20985412597656,40.81685256958008,N,27,0.0,20.730993966413504,20.730993966413504,0.0
