id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm
id1510700,2,2016-02-20 21:58:13,2016-02-20 21:59:10,1,-73.9583969116211,40.77262878417969,-73.95513153076173,40.77424240112305,N,57,0.4547,7.765768351605821,8.063108796066915,28.7178947368421
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40,0.0014,4.887866821384902,4.885134686211509,0.126
id3263580,2,2016-05-21 12:46:46,2016-05-21 12:46:49,2,-73.7823715209961,40.64876556396485,-73.7823715209961,40.64874649047852,N,3,2.9181,20.19857446361131,20.19932273947975,3501.72
id2730154,2,2016-03-29 22:39:46,2016-03-29 22:40:44,5,-73.9822006225586,40.7318115234375,-73.97994995117188,40.73481369018555,N,58,0.3838999999999999,2.915522371695788,3.289339044161065,23.82827586206896
id0729156,2,2016-06-23 13:36:48,2016-06-23 13:36:50,3,-73.82765960693358,40.716175079345696,-73.82211303710938,40.71145248413086,N,2,4.761699999999999,15.073920505655726,15.539199116203514,8571.06
id0971699,1,2016-05-19 07:20:41,2016-05-19 07:21:22,1,-73.99272918701173,40.737503051757805,-73.99273681640625,40.737449645996094,N,41,0.0023,2.963507783180291,2.9577747180555187,0.2019512195121951
id0953001,1,2016-05-28 06:15:14,2016-05-28 06:15:54,1,-73.98403930664062,40.74663925170898,-73.98406982421875,40.7466278076172,N,40,0.4635,4.190804101236932,4.188523726246847,41.715
id2456838,1,2016-01-13 20:11:46,2016-01-13 20:11:53,1,-73.79344177246092,40.644813537597656,-73.7952423095703,40.64466857910156,N,7,0.1525999999999999,19.4916625628104,19.357716912987957,78.47999999999995
id2281954,1,2016-03-18 16:01:05,2016-03-18 16:01:54,1,-73.94962310791014,40.78083038330078,-73.95038604736328,40.77730941772461,N,49,0.5038,8.929970463662457,8.56628045293717,37.013877551020414
id2843664,1,2016-02-06 15:27:14,2016-02-06 15:28:01,1,-73.98494720458984,40.751949310302734,-73.98355865478516,40.75155258178711,N,47,0.1321999999999999,4.697168738715268,4.702473320964585,10.125957446808503
id0753277,1,2016-01-27 22:29:31,2016-01-27 22:29:58,1,-74.20985412597656,40.81685256958008,-74.20985412597656,40.81685256958008,N,27,0.0,20.730993966413504,20.730993966413504,0.0
id2134482,1,2016-01-22 16:13:01,2016-01-22 16:13:20,1,-73.77631378173827,40.64545440673828,-73.77631378173827,40.64545440673828,N,19,0.0,20.808448459845614,20.808448459845614,0.0
id3852188,1,2016-01-07 16:20:39,2016-01-07 16:21:27,1,-73.97882080078125,40.74769973754882,-73.97763061523438,40.74727249145508,N,48,0.1108,4.504639090570687,4.516427391286041,8.309999999999999
id3899530,1,2016-02-27 00:13:39,2016-02-27 00:14:37,1,-73.98252105712889,40.727420806884766,-73.98058319091797,40.73006057739258,N,58,0.3361,2.563465158350505,2.878439422949582,20.86137931034483
id0508736,1,2016-03-30 08:05:38,2016-03-30 08:05:41,1,-73.96409606933594,40.77717208862305,-73.9640884399414,40.777156829833984,N,3,0.0016,7.976589137688715,7.975356768702289,1.92
id1895810,2,2016-04-04 00:32:53,2016-04-04 00:33:33,2,-73.97998809814453,40.68775939941406,-73.97855377197266,40.68524169921875,N,40,0.8806,3.5447593432837894,3.840086694253384,79.254
id2251007,2,2016-05-23 14:20:49,2016-05-23 14:20:57,1,-73.78182983398438,40.64469909667969,-73.78182983398438,40.64469909667969,N,8,0.0,20.404995990297877,20.404995990297877,0.0
id3831162,2,2016-02-18 20:26:11,2016-02-18 20:27:08,4,-74.00753021240233,40.72542572021485,-74.00685882568358,40.72990036010742,N,57,0.5007,1.4080155890818284,1.900355574017228,31.623157894736842
id1837685,2,2016-05-16 08:52:03,2016-05-16 08:52:22,1,-73.95081329345702,40.80256271362305,-73.9501953125,40.8023681640625,N,19,0.0561,11.003599405649611,11.006275647933006,10.629473684210526
id3885040,1,2016-04-18 12:55:14,2016-04-18 12:55:20,1,-73.78823852539062,40.64147567749024,-73.78823852539062,40.64147567749024,N,6,0.0,20.04194063790255,20.04194063790255,0.0
id0305344,1,2016-06-10 06:14:28,2016-06-10 06:14:34,1,-73.7901840209961,40.64663696289063,-73.7901840209961,40.64664077758789,N,6,0.922,19.669109156677003,19.668950441700925,553.2
id2206138,1,2016-01-21 12:07:45,2016-01-21 12:07:51,1,-73.78271484375,40.64396667480469,-73.78271484375,40.64396667480469,N,6,0.0,20.366004616238826,20.366004616238826,0.0
id2857295,2,2016-01-28 23:34:01,2016-01-28 23:34:09,6,-73.99442291259764,40.73480987548828,-73.99375152587889,40.73455810546875,N,8,0.0892,2.6326058740301272,2.628479593370196,40.14
id1606138,2,2016-04-27 15:14:54,2016-04-27 15:15:01,2,-74.1777801513672,40.69028091430664,-74.1777801513672,40.69028091430664,N,7,0.0,14.731550109190676,14.731550109190676,0.0
id0210376,1,2016-05-10 14:08:36,2016-05-10 14:08:42,1,-73.79643249511719,40.64523696899414,-73.7977066040039,40.64540100097656,N,6,0.0952,19.240370224132533,19.13407543226778,57.12
id2566676,2,2016-04-30 15:01:20,2016-04-30 15:02:07,3,-73.8639144897461,40.76992416381836,-73.86553955078125,40.770263671875,N,47,1.5854,13.574418863369,13.471015750751304,121.43489361702126
id1622938,1,2016-04-03 13:08:49,2016-04-03 13:08:59,1,-73.98722839355469,40.739524841308594,-73.98722839355469,40.73952865600586,N,10,0.0002,3.3649021546674818,3.3652757592343603,0.072
id1085743,1,2016-05-14 00:54:12,2016-05-14 00:55:06,1,-73.94617462158203,40.77732849121094,-73.94706726074217,40.7741813659668,N,54,0.4401,8.768091668345283,8.440250979174573,29.34
id1006773,1,2016-02-04 20:57:54,2016-02-04 20:58:06,1,-73.99875640869139,40.76025772094727,-73.99876403808595,40.76022720336913,N,12,0.0033,5.305523490587873,5.302082848080102,0.9899999999999999
id2058812,1,2016-04-05 23:41:41,2016-04-05 23:42:28,1,-73.92953491210938,40.65972137451172,-73.92958068847656,40.659683227539055,N,47,0.0039,8.747757194416733,8.747755452005043,0.2987234042553191
id3843707,2,2016-01-25 19:07:11,2016-01-25 19:07:40,1,-73.99094390869139,40.73956298828125,-73.99029541015625,40.7393913269043,N,29,0.8207000000000001,3.232748316728032,3.2372977616456,101.88000000000001
id3695064,1,2016-04-11 15:30:02,2016-04-11 15:30:19,1,-73.7940673828125,40.65717315673828,-73.7940673828125,40.65717315673828,N,17,0.0,18.95065341269394,18.95065341269394,0.0
id1271427,1,2016-06-26 13:52:10,2016-06-26 13:52:30,1,-73.9515380859375,40.78115463256836,-73.95153045654298,40.78115463256836,N,20,0.0006,8.875564449476737,8.8758983915613,0.10799999999999998
id3463067,2,2016-01-09 09:16:41,2016-01-09 09:17:31,6,-73.91735076904298,40.76109313964844,-73.91893768310547,40.7591209411621,N,50,0.2568,9.210439197538465,8.974584951740376,18.4896
id0719015,1,2016-06-11 16:09:09,2016-06-11 16:09:17,1,-73.98831176757811,40.7462043762207,-73.98841857910156,40.74618911743164,N,8,0.0012,3.999165216083601,3.994229531206374,0.5399999999999999
id0915475,1,2016-03-14 06:03:38,2016-03-14 06:03:43,1,-73.98240661621094,40.731143951416016,-73.98240661621094,40.731143951416016,N,5,0.0,2.850105266567226,2.850105266567226,0.0
id0233156,1,2016-01-25 16:28:15,2016-01-25 16:28:20,1,-73.9785614013672,40.756397247314446,-73.9786376953125,40.75632095336913,N,5,0.0106,5.367633933447499,5.357210274444737,7.632
id1005455,1,2016-02-09 11:27:53,2016-02-09 11:28:12,1,-73.79401397705078,40.65687561035156,-73.79401397705078,40.6568717956543,N,19,0.0002,18.965752869017148,18.9658920661025,0.037894736842105266
id3865480,2,2016-04-27 14:33:34,2016-04-27 14:34:24,1,-73.96600341796875,40.762115478515625,-73.9637222290039,40.76565170288086,N,50,0.4481,6.4346781500374,6.8701417421451945,32.263200000000005
id2686746,2,2016-05-28 17:26:34,2016-05-28 17:27:28,1,-73.9823989868164,40.748531341552734,-73.97917938232422,40.75239944458008,N,54,0.5078,4.44064952720597,4.946808161208473,33.85333333333334
